# For Office 2007 Enterprise edition - Chinese Traditional,,,,,,
# Last updated: 2015-02-11 (2015-02 Patch Tuesday),,,,,,
# Download?,Date,KB number,Security bulletin,Component,Download ID,Direct link
Y,2009-04,967642,-,targetdir,21751,http://download.microsoft.com/download/1/7/8/1786AB14-3416-4642-8894-8D0C59F3DA08/office2007-kb967642-fullfile-x86-glb.exe
Y,2011-11,2526086,SP3,office2007sp3,27838,http://download.microsoft.com/download/5/4/B/54BD238B-40C9-478D-A19F-28AA2B7482DB/office2007sp3-kb2526086-fullfile-zh-tw.exe
N,2011-11,2526086,SP3,officelp2007sp3,27829,http://download.microsoft.com/download/C/9/F/C9FCCCCD-7F18-40A0-960C-F30F3B770877/officelp2007sp3-kb2526086-fullfile-zh-tw.exe
N,2011-12,2596764,MS11-094,powerpoint,28515,http://download.microsoft.com/download/D/5/B/D5BB7E28-4D4E-4AC6-9C58-6ADD569BE846/powerpoint2007-kb2596764-fullfile-x86-glb.exe
Y,2011-12,2596912,MS11-094,pptview,28513,http://download.microsoft.com/download/D/7/6/D76769E3-6982-4D0A-AB55-268BC5E2C2B7/pptview2007-kb2596912-fullfile-x86-glb.exe
Y,2012-04,2596871,MS12-028,works632,29362,http://download.microsoft.com/download/E/A/D/EAD022C1-3332-47A5-8FB7-EE5FC94B98FC/works6322007-kb2596871-fullfile-x86-glb.exe
Y,2012-05,2597969,MS12-030,graph,29772,http://download.microsoft.com/download/D/C/8/DC83C929-FA79-4E86-8C5F-2096D57754D1/graph2007-kb2597969-fullfile-x86-glb.exe
Y,2012-05,2596792,MS12-034,mdivwctl,29753,http://download.microsoft.com/download/5/A/4/5A478ED9-C40A-4093-AA34-38DE69D0FD6B/mdivwctl2007-kb2596792-fullfile-x86-glb.exe
Y,2012-07,2596744,MS12-046,vbe6,30309,http://download.microsoft.com/download/2/B/8/2B8ECE10-384B-4276-A71B-7A4D9553EB01/vbe62007-kb2596744-fullfile-x86-glb.exe
Y,2012-08,2596754,MS12-057,msconv97,30633,http://download.microsoft.com/download/8/5/D/85DE6801-1652-406D-9CBB-6A1CA0BCD42F/msconv972007-kb2596754-fullfile-x86-glb.exe
Y,2012-10,2687439,MS12-066,infopath,34942,http://download.microsoft.com/download/C/3/6/C36B2267-7EED-4F91-8D1F-223563C86F34/infopath2007-kb2687439-fullfile-x86-glb.exe
Y,2012-10,2687440,MS12-066,ipeditor,34885,http://download.microsoft.com/download/B/9/6/B9608421-91B8-41CB-B636-0B1F67E545DD/ipeditor2007-kb2687440-fullfile-x86-glb.exe
N,2013-01,2687499,MS13-002,msxml5,36354,http://download.microsoft.com/download/4/5/F/45F92AFA-98B3-4E42-ABD9-81DDB14CF725/msxml52007-kb2687499-fullfile-x86-glb.exe
Y,2013-09,2597973,MS13-072,msptls,40164,http://download.microsoft.com/download/4/C/A/4CAD640D-CE7C-43DF-A74F-7A3A48B42FF9/msptls2007-kb2597973-fullfile-x86-glb.exe
Y,2013-09,2760411,MS13-072,mso,40171,http://download.microsoft.com/download/4/8/B/48B17680-434D-49BE-A985-C49BC366FA5C/mso2007-kb2760411-fullfile-x86-glb.exe
Y,2013-09,2596825,MS13-074,ace,40175,http://download.microsoft.com/download/A/8/7/A87CFD99-758D-4B53-AD7A-D320A7A99E27/ace2007-kb2596825-fullfile-x86-glb.exe
Y,2013-10,2760585,MS13-085,oart,40617,http://download.microsoft.com/download/5/6/7/56737F30-A7CB-4DA6-91D4-92E812252A0F/oart2007-kb2760585-fullfile-x86-glb.exe
Y,2013-10,2760591,MS13-085,oartconv,40620,http://download.microsoft.com/download/9/8/8/9881199B-96AE-4E8F-8F3A-2E1742CE98B8/oartconv2007-kb2760591-fullfile-x86-glb.exe
Y,2013-11,2760415,MS13-091,convloc,41122,http://download.microsoft.com/download/6/5/1/6511CAC1-530B-47F6-BBE5-22021F612072/convloc2007-kb2760415-fullfile-x86-glb.exe
N,2013-11,2825644,MS13-094,outlook,41114,http://download.microsoft.com/download/3/1/3/313552CE-26BD-4EB9-B9B9-D06106CA7ADB/outlook2007-kb2825644-fullfile-x86-glb.exe
Y,2013-12,2850022,MS13-106,mshelp,41440,http://download.microsoft.com/download/0/F/6/0F645299-B0C3-48E7-95AE-186660587F35/mshelp2007-kb2850022-fullfile-x86-glb.exe
Y,2014-04,2817565,MS14-020,publisher,42435,http://download.microsoft.com/download/8/6/3/863AB706-A087-4264-891F-5A29ABD9FB67/publisher2007-kb2817565-fullfile-x86-glb.exe
Y,2014-05,2817330,MS14-024,mscomctlocx,42862,http://download.microsoft.com/download/6/7/0/6707FDA5-C6B0-4AF1-A85D-7D72E24E81B5/mscomctlocx2007-kb2817330-fullfile-x86-glb.exe
